problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count,status,error,move_time_s,switch_time_s,measure_time_s,clear_action_time_s
Q4,1,2026091200,12,12,True,539.1504396352422,6469.805275622905,2.9097646960001384,253,complete,,4895.805275622907,228.0,1265.0,81.0
Q4,2,2026091201,14,14,True,431.9737525625033,6047.632535875046,3.0965843209999093,200,complete,,4796.632535875047,175.0,1000.0,76.0
Q4,3,2026091202,11,11,True,586.6128339214035,6452.741173135439,1.6745288419999724,283,complete,,4716.7411731354405,254.0,1415.0,67.0
Q4,4,2026091203,13,13,True,465.35042195633866,6049.555485432403,2.2621849729998758,214,complete,,4726.5554854324055,188.0,1070.0,65.0
Q4,5,2026091204,13,13,True,508.3491548623027,6608.539013209936,2.4138659339998867,255,complete,,5032.5390132099365,230.0,1275.0,71.0
Q4,6,2026091205,15,15,True,441.7854156145165,6626.781234217748,3.13153953799997,239,complete,,5148.781234217749,205.0,1195.0,78.0
Q4,7,2026091206,13,13,True,462.7698867249153,6016.008527423899,2.5251889040000606,246,complete,,4496.008527423901,222.0,1230.0,68.0
Q4,8,2026091207,14,14,True,430.07810890364965,6021.093524651095,1.6604797620000227,231,complete,,4587.0935246511,206.0,1155.0,73.0
Q4,9,2026091208,15,15,True,414.7110917220859,6220.666375831288,1.8376406959998803,210,complete,,4906.666375831289,180.0,1050.0,84.0
Q4,10,2026091209,13,13,True,487.7075338141292,6340.19793958368,1.4423803460001636,261,complete,,4729.197939583681,241.0,1305.0,65.0
Q4,11,2026091210,15,15,True,421.0900575288259,6316.350862932389,3.3290360759999658,238,complete,,4828.35086293239,208.0,1190.0,90.0
Q4,12,2026091211,11,11,True,540.126386865997,5941.390255525967,2.4199415129999124,244,complete,,4431.39025552597,220.0,1220.0,70.0
Q4,13,2026091212,15,15,True,420.2854472048691,6304.2817080730365,3.2924788189998253,198,complete,,5072.28170807304,167.0,990.0,75.0
Q4,14,2026091213,14,14,True,414.11876161423726,5797.662662599321,2.7616114729999026,205,complete,,4507.662662599321,183.0,1025.0,82.0
Q4,15,2026091214,12,12,True,516.084732726994,6193.016792723928,1.5753348069999902,219,complete,,4838.016792723929,194.0,1095.0,66.0
Q4,16,2026091215,15,15,True,435.5193934956135,6532.7909024342025,3.6572626049999144,246,complete,,4985.790902434206,215.0,1230.0,102.0
Q4,17,2026091216,13,13,True,472.7288577294226,6145.4751504824935,2.8547637429999213,238,complete,,4658.475150482493,217.0,1190.0,80.0
Q4,18,2026091217,10,10,True,617.3569879845546,6173.569879845546,1.1317794560000038,272,complete,,4509.569879845549,251.0,1360.0,53.0
Q4,19,2026091218,11,11,True,568.3463172246453,6251.8094894710985,1.5301610789999813,285,complete,,4503.8094894710985,262.0,1425.0,61.0
Q4,20,2026091219,15,15,True,420.0630821211187,6300.946231816781,2.0283151339999677,234,complete,,4837.94623181678,209.0,1170.0,84.0
Q4,21,2026091220,16,16,True,308.169898499623,4930.718375993968,3.615151468000022,161,complete,,3892.71837599397,138.0,805.0,95.0
Q4,22,2026091221,16,16,True,375.83501370895146,6013.360219343223,3.2628376650000064,196,complete,,4780.360219343225,170.0,980.0,83.0
Q4,23,2026091222,13,13,True,486.12088579983214,6319.571515397818,2.605757283999992,246,complete,,4795.5715153978235,223.0,1230.0,71.0
Q4,24,2026091223,11,11,True,551.3711178406185,6065.082296246804,2.3553757249999308,243,complete,,4567.082296246805,219.0,1215.0,64.0
Q4,25,2026091224,12,12,True,526.5433635859347,6318.520363031216,2.399761059999946,262,complete,,4711.520363031217,237.0,1310.0,60.0
Q4,26,2026091225,15,15,True,402.1489069139444,6032.233603709166,1.5330638240000098,249,complete,,4484.233603709167,225.0,1245.0,78.0
Q4,27,2026091226,12,12,True,487.9061725021806,5854.874070026167,2.436995546000162,251,complete,,4301.874070026167,229.0,1255.0,69.0
Q4,28,2026091227,15,15,True,394.9170747334505,5923.7561210017575,1.490701276999971,204,complete,,4631.756121001759,185.0,1020.0,87.0
Q4,29,2026091228,14,14,True,429.41379203499025,6011.793088489863,1.6755307250000442,213,complete,,4688.793088489863,185.0,1065.0,73.0
Q4,30,2026091229,15,15,True,453.0048393868939,6795.072590803408,2.39589610500002,243,complete,,5299.072590803408,200.0,1215.0,81.0
Q4,31,2026091230,16,16,True,382.21595006760646,6115.455201081703,3.567072776000032,187,complete,,4921.455201081705,161.0,935.0,98.0
Q4,32,2026091231,10,10,True,642.1055760614815,6421.055760614815,2.324067494000019,303,complete,,4564.055760614816,280.0,1515.0,62.0
Q4,33,2026091232,13,13,True,479.2724240760963,6230.541512989252,2.671049556999833,240,complete,,4740.541512989254,213.0,1200.0,77.0
Q4,34,2026091233,10,10,True,606.364237300654,6063.642373006541,1.8423800729999584,299,complete,,4234.64237300654,281.0,1495.0,53.0
Q4,35,2026091234,11,11,True,565.3455793785268,6218.801373163795,2.2004952839999987,264,complete,,4600.801373163795,237.0,1320.0,61.0
Q4,36,2026091235,12,12,True,500.8669747116774,6010.403696540129,2.6722237639999094,234,complete,,4567.40369654013,207.0,1170.0,66.0
Q4,37,2026091236,15,15,True,426.6872641987401,6400.308962981101,1.956682494000006,236,complete,,4932.308962981098,210.0,1180.0,78.0
Q4,38,2026091237,10,10,True,652.6888381271121,6526.888381271122,1.3577172380000775,307,complete,,4648.888381271121,284.0,1535.0,59.0
Q4,39,2026091238,11,11,True,544.3786113712887,5988.164725084176,1.9675766190000559,260,complete,,4393.164725084176,237.0,1300.0,58.0
Q4,40,2026091239,13,13,True,488.167820626426,6346.181668143538,3.656409409999924,246,complete,,4826.181668143539,219.0,1230.0,71.0
Q4,41,2026091240,10,10,True,653.6964171782734,6536.9641717827335,2.717110625000032,301,complete,,4699.9641717827335,276.0,1505.0,56.0
Q4,42,2026091241,13,13,True,461.1781660673419,5995.316158875445,3.0129600899999787,240,complete,,4505.316158875447,216.0,1200.0,74.0
Q4,43,2026091242,16,16,True,392.4711203266927,6279.537925227083,2.1146302309998646,211,complete,,4941.537925227081,182.0,1055.0,101.0
Q4,44,2026091243,11,11,True,562.1773970623374,6183.951367685711,2.863446983000131,269,complete,,4528.9513676857105,240.0,1345.0,70.0
Q4,45,2026091244,15,15,True,408.14130098230385,6122.119514734558,3.704114892000007,218,complete,,4754.11951473456,185.0,1090.0,93.0
Q4,46,2026091245,14,14,True,436.2069267187134,6106.896974061988,1.783131461000039,206,complete,,4813.896974061991,184.0,1030.0,79.0
Q4,47,2026091246,13,13,True,479.14417179641345,6228.874233353375,2.391177184000071,272,complete,,4557.874233353371,243.0,1360.0,68.0
Q4,48,2026091247,16,16,True,375.62927860484905,6010.068457677585,2.1759302870000283,181,complete,,4868.068457677586,148.0,905.0,89.0
Q4,49,2026091248,13,13,True,497.6161586317778,6469.010062213111,1.4665496019999864,251,complete,,4928.010062213113,221.0,1255.0,65.0
Q4,50,2026091249,10,10,True,623.8290343178223,6238.290343178223,2.0377043170001343,292,complete,,4458.290343178221,270.0,1460.0,50.0
Q4,51,2026091250,12,12,True,501.0530311496547,6012.636373795856,2.466520586999877,251,complete,,4473.636373795854,224.0,1255.0,60.0
Q4,52,2026091251,15,15,True,415.34678539953507,6230.201780993026,2.923563970000032,228,complete,,4805.201780993027,204.0,1140.0,81.0
Q4,53,2026091252,10,10,True,591.3793804791164,5913.793804791165,1.989318902999912,279,complete,,4197.793804791165,259.0,1395.0,62.0
Q4,54,2026091253,15,15,True,428.47332245878164,6427.0998368817245,2.013423603999854,187,complete,,5240.099836881723,159.0,935.0,93.0
Q4,55,2026091254,11,11,True,591.2566390938326,6503.823030032158,2.412924733999944,267,complete,,4861.823030032159,243.0,1335.0,64.0
Q4,56,2026091255,15,15,True,379.5091018030659,5692.636527045988,1.7742592070001137,204,complete,,4414.636527045992,174.0,1020.0,84.0
Q4,57,2026091256,13,13,True,463.0422125486209,6019.548763132072,2.686538907999875,221,complete,,4641.548763132073,196.0,1105.0,77.0
Q4,58,2026091257,11,11,True,556.8790626555304,6125.669689210835,7.054053239000041,262,complete,,4502.669689210838,237.0,1310.0,76.0
Q4,59,2026091258,13,13,True,473.3809869275567,6153.952830058237,3.1855782709999403,251,complete,,4598.952830058238,223.0,1255.0,77.0
Q4,60,2026091259,15,15,True,413.98720078303126,6209.808011745469,7.1265678029999435,218,complete,,4853.808011745472,191.0,1090.0,75.0
Q4,61,2026091260,13,13,True,502.34748049947524,6530.517246493178,2.0456287030001477,242,complete,,5021.51724649318,216.0,1210.0,83.0
Q4,62,2026091261,11,11,True,592.8656453055702,6521.522098361273,1.622225673999992,255,complete,,4955.522098361274,227.0,1275.0,64.0
Q4,63,2026091262,16,16,True,361.68103903718963,5786.896624595034,3.4657000380000227,200,complete,,4529.896624595034,174.0,1000.0,83.0
Q4,64,2026091263,10,10,True,620.3388486739624,6203.388486739624,2.7274468949999573,264,complete,,4576.388486739625,236.0,1320.0,71.0
Q4,65,2026091264,14,14,True,456.7403136279285,6394.364390790999,2.820867765999992,241,complete,,4904.364390790997,209.0,1205.0,76.0
Q4,66,2026091265,12,12,True,487.15427444800554,5845.851293376067,1.5316578099998424,257,complete,,4255.851293376065,233.0,1285.0,72.0
Q4,67,2026091266,12,12,True,530.7482480903283,6368.978977083939,1.6547029120001753,287,complete,,4592.9789770839425,263.0,1435.0,78.0
Q4,68,2026091267,11,11,True,573.7659020769103,6311.424922846013,2.739297663000116,259,complete,,4727.424922846014,231.0,1295.0,58.0
Q4,69,2026091268,14,14,True,457.7439798354122,6408.415717695771,1.8809575259999747,290,complete,,4615.415717695769,264.0,1450.0,79.0
Q4,70,2026091269,11,11,True,576.2363134311952,6338.599447743147,2.722917569999936,252,complete,,4785.599447743147,223.0,1260.0,70.0
Q4,71,2026091270,11,11,True,523.4847113496536,5758.331824846189,2.1867959520000113,241,complete,,4273.331824846191,222.0,1205.0,58.0
Q4,72,2026091271,12,12,True,472.8421597821216,5674.105917385459,1.8050890849999632,233,complete,,4224.105917385459,207.0,1165.0,78.0
Q4,73,2026091272,15,15,True,415.5003695587628,6232.505543381442,3.732378314000016,227,complete,,4803.50554338144,201.0,1135.0,93.0
Q4,74,2026091273,10,10,True,600.0567352670012,6000.567352670011,1.3814972899999702,276,complete,,4312.567352670015,246.0,1380.0,62.0
Q4,75,2026091274,10,10,True,654.4271607530279,6544.27160753028,1.3951679330000388,284,complete,,4810.271607530281,255.0,1420.0,59.0
Q4,76,2026091275,12,12,True,504.0114836923892,6048.137804308671,2.6411269410000386,273,complete,,4360.137804308671,254.0,1365.0,69.0
Q4,77,2026091276,16,16,True,389.1742454325575,6226.78792692092,3.718048716999874,239,complete,,4727.78792692092,209.0,1195.0,95.0
Q4,78,2026091277,12,12,True,502.3734079201169,6028.480895041403,2.3342292590000397,229,complete,,4620.480895041406,203.0,1145.0,60.0
Q4,79,2026091278,15,15,True,425.8930752012993,6388.39612801949,3.8264170119998653,235,complete,,4921.396128019492,208.0,1175.0,84.0
Q4,80,2026091279,10,10,True,612.2931744440909,6122.931744440909,2.000370657000076,291,complete,,4349.931744440909,268.0,1455.0,50.0
Q4,81,2026091280,15,15,True,436.21816356726356,6543.272453508954,2.036632563000012,222,complete,,5161.272453508951,191.0,1110.0,81.0
Q4,82,2026091281,11,11,True,553.883852707009,6092.722379777099,1.3624576249999336,267,complete,,4449.7223797771,244.0,1335.0,64.0
Q4,83,2026091282,15,15,True,428.37573317414507,6425.635997612176,3.165377183000146,246,complete,,4883.635997612175,222.0,1230.0,90.0
Q4,84,2026091283,16,16,True,415.3092175082709,6644.947480132334,4.144453122000186,256,complete,,5057.947480132335,224.0,1280.0,83.0
Q4,85,2026091284,15,15,True,420.8531021305637,6312.7965319584555,2.236096481000004,216,complete,,4953.796531958455,186.0,1080.0,93.0
Q4,86,2026091285,15,15,True,375.88817305118266,5638.32259576774,3.896243223999818,179,complete,,4507.322595767739,155.0,895.0,81.0
Q4,87,2026091286,11,11,True,530.9285186768085,5840.213705444894,2.511521487999971,248,complete,,4315.213705444896,221.0,1240.0,64.0
Q4,88,2026091287,11,11,True,570.5949647127527,6276.54461184028,1.2724083020000307,273,complete,,4604.544611840281,252.0,1365.0,55.0
Q4,89,2026091288,12,12,True,531.4511841959583,6377.414210351499,2.463383424000085,241,complete,,4900.414210351499,212.0,1205.0,60.0
Q4,90,2026091289,14,14,True,435.6373303344955,6098.922624682938,2.6047374869999658,214,complete,,4745.922624682938,189.0,1070.0,94.0
Q4,91,2026091290,14,14,True,451.03229464236904,6314.452124993167,2.834620060000134,247,complete,,4779.452124993168,224.0,1235.0,76.0
Q4,92,2026091291,12,12,True,518.8616383763181,6226.339660515817,1.6829778920000535,246,complete,,4701.339660515818,220.0,1230.0,75.0
Q4,93,2026091292,12,12,True,500.7284247497342,6008.7410969968105,2.6202473190001,267,complete,,4371.741096996813,242.0,1335.0,60.0
Q4,94,2026091293,11,11,True,561.8967501476426,6180.864251624068,2.7175524740000583,276,complete,,4483.8642516240725,253.0,1380.0,64.0
Q4,95,2026091294,15,15,True,432.1357424024488,6482.0361360367315,3.3735778830000527,218,complete,,5126.036136036733,185.0,1090.0,81.0
Q4,96,2026091295,11,11,True,554.1783013464096,6095.961314810505,3.0703229270000065,284,complete,,4356.961314810507,261.0,1420.0,58.0
Q4,97,2026091296,15,15,True,412.6686601303845,6190.029901955768,2.151829825999812,192,complete,,4980.029901955768,163.0,960.0,87.0
Q4,98,2026091297,13,13,True,466.53653609636757,6064.9749692527785,4.257070017999922,229,complete,,4632.9749692527785,207.0,1145.0,80.0
Q4,99,2026091298,10,10,True,593.6945835237493,5936.945835237493,1.111330493999958,283,complete,,4206.945835237495,262.0,1415.0,53.0
Q4,100,2026091299,15,15,True,416.4282219094709,6246.423328642063,2.8997933610000928,239,complete,,4760.423328642066,210.0,1195.0,81.0
Q4,101,2026091300,11,11,True,547.4496381809518,6021.94601999047,2.1084574740000335,280,complete,,4305.94601999047,261.0,1400.0,55.0
Q4,102,2026091301,14,14,True,453.4456640976496,6348.239297367095,2.2248066729998754,235,complete,,4877.239297367094,202.0,1175.0,94.0
Q4,103,2026091302,15,15,True,398.1918422129649,5972.877633194474,3.0058136019999893,210,complete,,4650.8776331944755,185.0,1050.0,87.0
Q4,104,2026091303,11,11,True,562.5444298769654,6187.98872864662,1.4460431079999125,313,complete,,4257.988728646622,292.0,1565.0,73.0
Q4,105,2026091304,13,13,True,453.327715487077,5893.260301332001,2.923290333000068,217,complete,,4536.260301332004,192.0,1085.0,80.0
Q4,106,2026091305,12,12,True,539.2575405042826,6471.090486051391,2.9380901399999857,288,complete,,4697.090486051394,265.0,1440.0,69.0
Q4,107,2026091306,10,10,True,628.7345070834797,6287.345070834797,1.6762812539998322,296,complete,,4484.345070834798,273.0,1480.0,50.0
Q4,108,2026091307,15,15,True,432.4885456577913,6487.328184866869,1.7639301939998404,234,complete,,5027.3281848668685,206.0,1170.0,84.0
Q4,109,2026091308,13,13,True,484.7312000210708,6301.50560027392,3.416332777999969,240,complete,,4812.505600273919,206.0,1200.0,83.0
Q4,110,2026091309,13,13,True,513.5761741437889,6676.490263869255,2.0037556580000455,256,complete,,5081.490263869253,229.0,1280.0,86.0
Q4,111,2026091310,11,11,True,581.5100027470227,6396.610030217249,2.577095474999851,272,complete,,4728.610030217249,247.0,1360.0,61.0
Q4,112,2026091311,14,14,True,426.9615761088461,5977.462065523845,2.7844860310001422,225,complete,,4581.462065523843,198.0,1125.0,73.0
Q4,113,2026091312,15,15,True,404.1833081722462,6062.749622583693,2.0474149449999004,213,complete,,4733.749622583693,186.0,1065.0,78.0
Q4,114,2026091313,14,14,True,462.36908157685366,6473.167142075951,2.648696538999957,229,complete,,5052.16714207595,206.0,1145.0,70.0
Q4,115,2026091314,13,13,True,474.10714704843576,6163.392911629665,1.6375105040001472,228,complete,,4754.392911629666,198.0,1140.0,71.0
Q4,116,2026091315,11,11,True,575.9966303252212,6335.962933577433,2.1236449379998703,300,complete,,4496.962933577431,281.0,1500.0,58.0
Q4,117,2026091316,12,12,True,525.8901491446888,6310.681789736266,2.516226700000061,279,complete,,4593.681789736266,256.0,1395.0,66.0
Q4,118,2026091317,11,11,True,561.763175538631,6179.394930924941,4.207836800999985,277,complete,,4471.394930924942,259.0,1385.0,64.0
Q4,119,2026091318,10,10,True,625.4181784088621,6254.1817840886215,2.606008971999927,291,complete,,4478.181784088623,265.0,1455.0,56.0
Q4,120,2026091319,14,14,True,432.7075479151943,6057.90567081272,1.6466233849998844,213,complete,,4730.905670812717,189.0,1065.0,73.0
Q4,121,2026091320,15,15,True,373.36870999598653,5600.530649939798,1.8263517479999791,175,complete,,4483.5306499397975,149.0,875.0,93.0
Q4,122,2026091321,12,12,True,562.8386162202164,6754.063394642597,3.285091212999987,289,complete,,4973.063394642598,261.0,1445.0,75.0
Q4,123,2026091322,13,13,True,496.8578926037335,6459.152603848535,2.899843737000083,271,complete,,4789.152603848534,244.0,1355.0,71.0
Q4,124,2026091323,15,15,True,425.7396284169465,6386.094426254198,3.615368068999942,226,complete,,4973.094426254202,202.0,1130.0,81.0
Q4,125,2026091324,13,13,True,488.57945654545824,6351.532935090957,3.7268318879998787,249,complete,,4798.532935090958,219.0,1245.0,89.0
Q4,126,2026091325,13,13,True,468.2496375064751,6087.245287584176,1.7588133439999183,243,complete,,4581.2452875841755,217.0,1215.0,74.0
Q4,127,2026091326,13,13,True,471.1784134613839,6125.319374997991,1.6894233769999119,220,complete,,4761.319374997992,193.0,1100.0,71.0
Q4,128,2026091327,10,10,True,620.70354628126,6207.0354628126,1.9886517250001816,291,complete,,4431.0354628126015,268.0,1455.0,53.0
Q4,129,2026091328,14,14,True,434.7390557844206,6086.3467809818885,1.940277837999929,201,complete,,4833.346780981891,172.0,1005.0,76.0
Q4,130,2026091329,15,15,True,408.42099410327336,6126.3149115491005,1.7200809400001162,207,complete,,4819.314911549101,185.0,1035.0,87.0
Q4,131,2026091330,15,15,True,400.243679349146,6003.65519023719,3.4328358910001953,189,complete,,4807.655190237192,164.0,945.0,87.0
Q4,132,2026091331,10,10,True,637.657193016997,6376.57193016997,2.1763430280000193,305,complete,,4517.571930169974,281.0,1525.0,53.0
Q4,133,2026091332,11,11,True,607.7726148691862,6685.498763561049,2.2295929980000437,286,complete,,4934.498763561047,260.0,1430.0,61.0
Q4,134,2026091333,10,10,True,638.9599871067014,6389.599871067014,1.967230838999967,276,complete,,4704.599871067014,255.0,1380.0,50.0
Q4,135,2026091334,14,14,True,416.9515472760969,5837.321661865357,2.7154867260001083,216,complete,,4489.321661865358,192.0,1080.0,76.0
Q4,136,2026091335,13,13,True,471.29847958036856,6126.880234544791,1.6297724420001032,237,complete,,4645.880234544792,213.0,1185.0,83.0
Q4,137,2026091336,16,16,True,389.1108367301498,6225.773387682397,2.2041906320000635,199,complete,,4965.773387682397,170.0,995.0,95.0
Q4,138,2026091337,11,11,True,569.9268895309457,6269.195784840403,2.8094382250001217,295,complete,,4455.195784840404,269.0,1475.0,70.0
Q4,139,2026091338,14,14,True,448.8976579807519,6284.567211730527,2.829593195999905,222,complete,,4906.56721173053,195.0,1110.0,73.0
Q4,140,2026091339,11,11,True,570.8830345160978,6279.713379677076,2.5688665420000234,307,complete,,4400.713379677078,280.0,1535.0,64.0
Q4,141,2026091340,13,13,True,496.4013368595904,6453.217379174675,2.5649807779998355,262,complete,,4837.217379174677,238.0,1310.0,68.0
Q4,142,2026091341,13,13,True,476.78107731433226,6198.15400508632,1.9992687999999816,251,complete,,4653.154005086318,216.0,1255.0,74.0
Q4,143,2026091342,10,10,True,575.1772452424206,5751.772452424206,2.3745715669999754,296,complete,,3931.7724524242053,275.0,1480.0,65.0
