problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count
Q3,1,2026091200,12,12,True,265.59466617115436,3187.1359940538523,2.225811700001941,120
Q3,2,2026091201,14,14,True,217.94669310564993,3051.253703479099,2.823150900003384,110
Q3,3,2026091202,11,11,True,309.0627590403523,3399.6903494438757,3.729766999997082,133
Q3,4,2026091203,13,13,True,219.9669760163574,2859.570688212646,2.116055200007395,109
Q3,5,2026091204,13,13,True,278.0335249990193,3614.4358249872507,3.035039299997152,129
Q3,6,2026091205,15,15,True,240.72262067547902,3610.8393101321853,2.8306286000006367,111
Q3,7,2026091206,13,13,True,267.84759782581057,3482.0187717355375,2.430570500000613,118
Q3,8,2026091207,14,14,True,248.60950568659297,3480.5330796123017,3.3536415999988094,113
Q3,9,2026091208,15,15,True,229.0489155281524,3435.733732922286,2.3441975000023376,108
Q3,10,2026091209,13,13,True,260.1323269724185,3381.720250641441,2.146860699998797,123
Q3,11,2026091210,15,15,True,233.84731199322698,3507.709679898405,3.376120800006902,112
Q3,12,2026091211,11,11,True,298.7368295259133,3286.1051247850464,2.4453257999994094,123
Q3,13,2026091212,15,15,True,220.33152889030498,3304.9729333545747,3.9541669999889564,119
Q3,14,2026091213,14,14,True,259.47784120412103,3632.689776857694,3.6984672999969916,123
Q3,15,2026091214,12,12,True,234.0440672586716,2808.528807104059,1.6952306000021053,106
Q3,16,2026091215,15,15,True,231.5071541200981,3472.6073118014715,4.543468000003486,109
Q3,17,2026091216,13,13,True,258.46683100666047,3360.068803086586,3.015625400003046,123
Q3,18,2026091217,10,10,True,329.92646196673553,3299.2646196673554,2.672199999986333,137
Q3,19,2026091218,11,11,True,305.8759100070775,3364.6350100778527,2.932834199993522,128
Q3,20,2026091219,15,15,True,254.66219440979916,3819.9329161469873,3.915502000003471,126
Q3,21,2026091220,16,16,True,177.84569293452475,2845.531086952396,3.537959100009175,90
