surface,tau,grid_size,contour_id,vertex_id,x,y
objective_level,0.05,31,0,0,982.803534555729,129.8990869155382
objective_level,0.05,31,0,1,983.3826655343648,63.23242024887156
objective_level,0.05,31,0,2,983.3622729791316,-3.434246417795123
objective_level,0.05,31,0,3,982.908514239982,-70.10091308446181
objective_level,0.05,31,0,4,982.1115561178813,-136.76757975112844
objective_level,0.05,31,0,5,981.3491390315942,-137.52999683741558
objective_level,0.05,31,0,6,967.2313834851291,-136.76757975112844
objective_level,0.05,31,0,7,954.5818725567003,-70.10091308446181
objective_level,0.05,31,0,8,950.0087913022692,-3.434246417795123
objective_level,0.05,31,0,9,953.4325330833819,63.23242024887156
objective_level,0.05,31,0,10,964.3898109784268,129.8990869155382
objective_level,0.05,31,0,11,981.3491390315942,131.35348243967292
objective_level,0.05,31,0,12,982.803534555729,129.8990869155382
objective_level,0.05,31,1,0,449.5832196290871,863.2324202488717
objective_level,0.05,31,1,1,448.0158056982607,839.9217408259752
objective_level,0.05,31,1,2,393.29971927981825,863.2324202488717
objective_level,0.05,31,1,3,448.0158056982607,864.7998341796981
objective_level,0.05,31,1,4,449.5832196290871,863.2324202488717
objective_level,0.05,31,2,0,315.2502103293994,929.8990869155382
objective_level,0.05,31,2,1,314.6824723649274,917.7859718114073
objective_level,0.05,31,2,2,298.4555057953846,929.8990869155382
objective_level,0.05,31,2,3,314.6824723649274,930.4668248800102
objective_level,0.05,31,2,4,315.2502103293994,929.8990869155382
objective_level,0.05,51,0,0,968.3064976268267,129.8990869155382
objective_level,0.05,51,0,1,968.6236774033898,89.89908691553819
objective_level,0.05,51,0,2,968.7767381955869,49.89908691553819
objective_level,0.05,51,0,3,968.8005184543644,9.899086915538192
objective_level,0.05,51,0,4,968.7185165746355,-30.10091308446181
objective_level,0.05,51,0,5,968.5469455851239,-70.10091308446181
objective_level,0.05,51,0,6,968.2971505267149,-110.10091308446181
objective_level,0.05,51,0,7,968.0158056982607,-145.29821345011237
objective_level,0.05,51,0,8,959.6439301939628,-110.10091308446181
objective_level,0.05,51,0,9,952.9531115291855,-70.10091308446181
objective_level,0.05,51,0,10,949.1732249899907,-30.10091308446181
objective_level,0.05,51,0,11,948.3022942228729,9.899086915538192
objective_level,0.05,51,0,12,950.2974127496863,49.89908691553819
objective_level,0.05,51,0,13,955.0628764360979,89.89908691553819
objective_level,0.05,51,0,14,962.4342182472614,129.8990869155382
objective_level,0.05,51,0,15,968.0158056982607,151.78161241938432
objective_level,0.05,51,0,16,968.3064976268267,129.8990869155382
objective_level,0.05,51,1,0,568.4225072724412,809.8990869155382
objective_level,0.05,51,1,1,568.0158056982607,802.5681096080575
objective_level,0.05,51,1,2,528.766732493784,809.8990869155382
objective_level,0.05,51,1,3,568.0158056982607,810.3057884897187
objective_level,0.05,51,1,4,568.4225072724412,809.8990869155382
objective_level,0.05,51,2,0,449.70901759035036,889.8990869155382
objective_level,0.05,51,2,1,488.0158056982607,850.9855772683603
objective_level,0.05,51,2,2,489.1022960510828,849.8990869155382
