experiment,setting,native_j_star,j_at_reference_order,relative_delta_percent,area_or_region,marching_area
circle_sides,32.0,1611.2814594315362,1614.1235210613036,0.02028089497805314,39310.56832539652,
circle_sides,64.0,1611.281418605272,1614.1234773859392,0.020278360688098254,39310.56832539636,
circle_sides,128.0,1607.8829682402916,1613.359957009613,0.19068041260586058,39280.157907586916,
circle_sides,180.0,1609.7727473216096,1612.6732651739694,0.0733723945457717,39273.89608848644,
circle_sides,360.0,1610.954743391885,1610.4246625440533,0.0,39270.90505841475,
quadrature_order,3.0,1609.7056971814527,1610.4271486567181,0.04464387614144933,,
quadrature_order,4.0,1609.2055020961045,1610.4249377068577,0.07570370153370974,,
quadrature_order,5.0,1609.6625642004067,1610.4246513301493,0.04732223684346368,,
quadrature_order,6.0,1610.954743391885,1610.4246625440533,0.032916176604535836,,
quadrature_order,8.0,1610.4246531689648,1610.4246531689648,0.0,,
candidate_grid,31.0,,,,22222.22222222223,8044.141806829648
candidate_grid,51.0,,,,30400.0,9043.79535680644
candidate_grid,81.0,,,,28750.0,18038.950156356015
candidate_grid,121.0,,,,27500.000000000015,21668.143224202737
candidate_grid,161.0,,,,27187.5,22862.61219590709
