epsilon_w,p_w,j_star,j_under_reference_weight,distance_from_s1,bearing_difference_deg,reception_h,strict_feasible,feasible_with_tolerance,candidate_tau,candidate_area,accepted_cell_count,component_count,point_x,point_y
0.1,1.0,1610.906974829786,1611.118517506248,999.9999999934047,29.61857565129509,-1.3185897842049599e-05,True,True,0.05,25799.51625907015,24,3,475.33899648795176,879.802726981814
0.1,2.0,1661.1641941264384,1611.0157330828372,1000.0000001441832,29.81010582754024,0.0002883709967136383,False,True,0.05,23649.556570814304,22,5,472.39531331613136,881.3867869700115
0.1,3.0,1676.294595918334,1610.9596628929003,999.9999998446756,30.193801220686368,-0.0003106441581621766,True,True,0.05,24724.536414942228,23,4,466.48233956496523,884.5305119459405
0.2,1.0,1587.0573762425636,1610.990283884381,999.9999999325757,-29.880989002551587,-0.00013484375085681677,True,True,0.05,26874.49610319807,25,3,999.3161801539293,36.97528833844554
0.2,2.0,1610.954743391885,1610.954743391885,999.9999999462199,-30.11164317064859,-0.00010755541734397411,True,True,0.05,25799.51625907015,24,3,999.4569327707653,32.95207776292434
0.2,3.0,1610.472187573583,1611.0121094719177,999.9999999981109,-30.40635119722299,-3.773719072341919e-06,True,True,0.05,26874.49610319807,25,3,999.6132039912617,27.810832467689977
0.3,1.0,1569.1083074501134,1610.9553307070937,999.9999999835172,-30.0816911914757,-3.296090289950371e-05,True,True,0.05,29024.45579145392,27,3,999.4395701939592,33.47454999770119
0.3,2.0,1580.7586749235165,1610.9781174788336,999.9999999797168,-30.299386680203355,-4.056177567690611e-05,True,True,0.05,29024.45579145392,27,3,999.5595424810213,29.676943821172667
0.3,3.0,1576.6051414811727,1611.0656477432651,999.9999999992522,-30.522181537261076,-1.4909310266375542e-06,True,True,0.05,31174.415479709765,29,3,999.6673842274523,25.78993816098984
0.5,1.0,1543.8885357138988,1610.9985516700835,999.9999999998357,-30.369014162569727,-3.241002559661865e-07,True,True,0.05,32249.395323837685,30,3,999.5948687043739,28.46222864704859
0.5,2.0,1546.1841245440128,1611.0659410682767,999.9999999531822,-30.52272747030085,-9.363109711557627e-05,True,True,0.05,33324.37516796561,31,3,999.6676298710348,25.780412998864445
0.5,3.0,1542.0754273491536,1611.1415736302868,999.9999999991524,-30.6454923525057,-1.6906997188925743e-06,True,True,0.05,34399.35501209353,32,3,999.7205735990527,23.63841621356456
