layout_name,ring_points,ring_radius,case,seed,true_total,total,cleared_count,cleared,success,status,clear_ratio,virtual_time_s,average_clear_time_s,distance_m,measure_count,failed_clear_attempts,program_runtime_s,probe_attempts,probe_successes,exact_routes,approximate_routes,error
ring6_1123,6,1123.0,1,2026091451,13,13,13,13,True,complete,1.0,3763.8833000487252,289.5294846191327,15274.416500243628,106,7,3.8589999999967404,11,4,36,19,
ring6_1123,6,1123.0,2,2026091452,12,12,12,12,True,complete,1.0,3418.738959148634,284.8949132623862,13648.694795743164,101,12,4.389999999984866,14,2,33,24,
ring6_1123,6,1123.0,3,2026091453,16,16,16,16,True,complete,1.0,3818.8458873691548,238.67786796057217,15539.229436845773,102,11,4.812000000005355,14,3,51,14,
ring7_998,7,998.0,1,2026091451,13,13,13,13,True,complete,1.0,3251.8288454643834,250.1406804203372,12439.144227321916,110,16,4.062000000005355,21,5,38,14,
ring7_998,7,998.0,2,2026091452,12,12,12,12,True,complete,1.0,3079.116394280772,256.593032856731,11955.581971403855,103,6,2.3289999999979045,10,4,21,15,
ring7_998,7,998.0,3,2026091453,16,16,16,16,True,complete,1.0,3566.948652155788,222.93429075973674,14809.743260778932,88,2,2.9530000000086147,4,2,21,24,
ring8_939,8,939.0,1,2026091451,13,13,13,13,True,complete,1.0,3248.5857104302,249.89120849463077,12217.928552151,119,11,3.625,14,3,28,18,
ring8_939,8,939.0,2,2026091452,12,12,12,12,True,complete,1.0,3153.5505567348787,262.79587972790654,12022.752783674392,115,2,2.0469999999913853,4,2,17,17,
ring8_939,8,939.0,3,2026091453,16,16,16,16,True,complete,1.0,3799.6476896173895,237.47798060108684,15033.23844808695,115,11,4.187000000005355,14,3,36,16,
ring9_904,9,904.0,1,2026091451,13,13,13,13,True,complete,1.0,3472.029307466565,267.0791774974281,12950.146537332823,133,9,3.4530000000086147,15,6,31,15,
ring9_904,9,904.0,2,2026091452,12,12,12,12,True,complete,1.0,3268.760501477812,272.3967084564843,12218.80250738906,122,14,3.6719999999913853,20,6,19,27,
ring9_904,9,904.0,3,2026091453,16,16,16,16,True,complete,1.0,3612.564579195335,225.78528619970845,14507.822895976673,105,3,2.5,8,5,15,29,
ring10_881,10,881.0,1,2026091451,13,13,13,13,True,complete,1.0,3645.179297295244,280.39840748424956,13510.896486476218,145,6,2.9839999999967404,7,1,27,18,
ring10_881,10,881.0,2,2026091452,12,12,12,12,True,complete,1.0,3207.987627010633,267.3323022508861,11799.938135053166,131,3,2.0160000000032596,5,2,17,18,
ring10_881,10,881.0,3,2026091453,16,16,16,16,True,complete,1.0,3345.2861220458985,209.08038262786866,12916.43061022949,108,14,4.062999999994645,17,3,22,35,
