layout_name,ring_points,ring_radius,case,seed,true_total,total,cleared_count,cleared,success,status,clear_ratio,virtual_time_s,average_clear_time_s,distance_m,measure_count,failed_clear_attempts,program_runtime_s,probe_attempts,probe_successes,exact_routes,approximate_routes,error
ring6_1123,6,1123.0,1,2026091301,14,14,14,14,True,complete,1.0,3930.6947634371454,280.76391167408184,15953.47381718572,105,19,6.187999999994645,19,0,47,23,
ring6_1123,6,1123.0,2,2026091302,15,15,15,15,True,complete,1.0,3598.6250711432704,239.90833807621803,14608.125355716338,94,16,6.155999999988126,23,7,35,28,
ring6_1123,6,1123.0,3,2026091303,11,11,11,11,True,complete,1.0,3423.254794541721,311.2049813219746,13056.273972708608,123,9,4.76600000000326,15,6,46,0,
ring7_998,7,998.0,1,2026091301,14,14,14,14,True,complete,1.0,3826.92157180793,273.35154084342355,15419.60785903965,107,13,5.1560000000172295,20,7,42,6,
ring7_998,7,998.0,2,2026091302,15,15,15,15,True,complete,1.0,3052.4292639461983,203.4952842630799,11817.146319730988,98,11,4.610000000015134,16,5,23,24,
ring7_998,7,998.0,3,2026091303,11,11,11,11,True,complete,1.0,3153.6579776436215,286.6961797857838,11498.289888218105,125,19,6.235000000015134,24,5,52,0,
ring8_939,8,939.0,1,2026091301,14,14,14,14,True,complete,1.0,3633.1808799242035,259.51291999458596,14185.904399621018,115,15,4.547000000020489,19,4,35,16,
ring8_939,8,939.0,2,2026091302,15,15,15,15,True,complete,1.0,3302.1936018358288,220.14624012238858,12795.968009179143,106,13,4.344000000011874,17,4,19,32,
ring8_939,8,939.0,3,2026091303,11,11,11,11,True,complete,1.0,3264.3903359795013,296.7627578163183,11331.951679897504,152,13,4.030999999988126,14,1,48,0,
ring9_904,9,904.0,1,2026091301,14,14,14,14,True,complete,1.0,3576.464984055772,255.4617845754123,13632.324920278861,125,12,4.030999999988126,18,6,24,24,
ring9_904,9,904.0,2,2026091302,15,15,15,15,True,complete,1.0,3018.4923584089106,201.23282389392736,11072.461792044553,116,14,3.7339999999967404,19,5,25,26,
ring9_904,9,904.0,3,2026091303,11,11,11,11,True,complete,1.0,3385.2659381251797,307.75144892047086,11956.329690625897,152,11,3.0309999999881256,15,4,34,7,
ring10_881,10,881.0,1,2026091301,14,14,14,14,True,complete,1.0,3728.4961782009736,266.32115558578386,14002.480891004874,137,14,4.10999999998603,20,6,31,18,
ring10_881,10,881.0,2,2026091302,15,15,15,15,True,complete,1.0,3234.7595951525623,215.65063967683747,12023.797975762807,125,4,2.734000000025844,7,3,16,26,
ring10_881,10,881.0,3,2026091303,11,11,11,11,True,complete,1.0,3541.6468178598793,321.9678925327163,12168.234089299398,172,10,3.85999999998603,14,4,27,18,
