case,seed,true_total,cleared_count,clear_ratio,success,status,virtual_time_s,time_per_cleared_source_s,distance_m,measure_count,clear_attempts,failed_clear_attempts,program_runtime_s,mean_clear_distance_m,p95_clear_distance_m,mean_center_error_m,error_hit_rate_20m,error_hit_rate_50m,error_hit_rate_100m,probe_attempts,probe_successes,error,setting_id,parameter,setting_value
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,4.3439999999827705,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,,search_gain=0.05,search_gain,0.05
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,4.047000000020489,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,,search_gain=0.05,search_gain,0.05
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.0,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,search_gain=0.05,search_gain,0.05
4,2026091303,11,11,1.0,True,complete,3264.3903359795013,296.7627578163183,11331.951679897504,152,24,13,3.7809999999881256,13.780521352556276,19.487906498235443,7.520577248706073,1.0,1.0,1.0,14,1,,search_gain=0.05,search_gain,0.05
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.265999999974156,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,search_gain=0.05,search_gain,0.05
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,4.375,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,,search_gain=0.2,search_gain,0.2
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,3.8429999999934807,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,,search_gain=0.2,search_gain,0.2
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.046999999991385,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,,search_gain=0.2,search_gain,0.2
4,2026091303,11,11,1.0,True,complete,3264.3903359795013,296.7627578163183,11331.951679897504,152,24,13,3.687000000005355,13.780521352556276,19.487906498235443,7.520577248706073,1.0,1.0,1.0,14,1,,search_gain=0.2,search_gain,0.2
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.2809999999881256,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,,search_gain=0.2,search_gain,0.2
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,4.546999999991385,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,,search_gain=0.5,search_gain,0.5
