setting_id,parameter,value,layout_name,case_count,success_rate,mean_clear_ratio,mean_virtual_time_s,p95_virtual_time_s,mean_time_per_source_s,p95_clear_distance_m,error_hit_rate_20m,failed_clear_attempts
search_gain=0.05,search_gain,0.05,ring8_939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
search_gain=0.2,search_gain,0.2,ring8_939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
search_gain=0.5,search_gain,0.5,ring8_939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
search_gain=1,search_gain,1.0,ring8_939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
lookahead=0,lookahead,0.0,ring8_939,5,1.0,1.0,3378.7903599699034,3579.333641854331,267.5939864909912,19.443140823219892,1.0,71
lookahead=0.5,lookahead,0.5,ring8_939,5,1.0,1.0,3375.765311645652,3576.334132756698,267.3664863546414,19.443140823219892,1.0,66
lookahead=1,lookahead,1.0,ring8_939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
max_probes=0,max_probes,0,ring8_939,5,1.0,1.0,3351.2796641587365,3558.321753736016,265.32694265651855,19.071147314887934,1.0,0
max_probes=2,max_probes,2,ring8_939,5,1.0,1.0,3368.16281545738,3573.053201587366,266.6847469043056,19.081712401945275,1.0,40
max_probes=5,max_probes,5,ring8_939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
max_probes=8,max_probes,8,ring8_939,5,1.0,1.0,3375.475215971358,3578.931051963086,267.31301053269283,19.45490317266423,1.0,62
max_detour_m=0,max_detour_m,0.0,ring8_939,5,1.0,1.0,3376.8566785779353,3588.828822272493,267.3899049593591,19.37220394875962,1.0,56
max_detour_m=2.5,max_detour_m,2.5,ring8_939,5,1.0,1.0,3378.442328405581,3588.9407627614714,267.5339994351626,19.443140823219892,1.0,59
max_detour_m=5,max_detour_m,5.0,ring8_939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
max_detour_m=10,max_detour_m,10.0,ring8_939,5,1.0,1.0,3357.9612899532644,3559.3652903572406,265.79676973219097,19.442937632611415,1.0,55
layout_ring_points=6,layout_ring_points,6,custom_n6_R1123,5,1.0,1.0,3656.477684016055,3883.676183219755,289.4791600959093,19.64461753272795,1.0,76
layout_ring_points=7,layout_ring_points,7,custom_n7_R998,5,1.0,1.0,3325.5150096893485,3733.211361830772,263.21576183411145,19.47931413339729,1.0,63
layout_ring_points=8,layout_ring_points,8,custom_n8_R939,5,1.0,1.0,3373.606916620185,3576.5705615764123,267.154661031872,19.45490317266423,1.0,59
layout_ring_points=9,layout_ring_points,9,custom_n9_R904,5,1.0,1.0,3366.588648636594,3554.327600323896,268.01015653994386,19.57022241660793,1.0,71
layout_ring_points=10,layout_ring_points,10,custom_n10_R881,5,1.0,1.0,3440.0251783521394,3691.126306132755,273.09349816739694,19.294287359536334,1.0,31
