case,seed,true_total,cleared_count,clear_ratio,success,status,virtual_time_s,time_per_cleared_source_s,distance_m,measure_count,clear_attempts,failed_clear_attempts,program_runtime_s,mean_clear_distance_m,p95_clear_distance_m,mean_center_error_m,error_hit_rate_20m,error_hit_rate_50m,error_hit_rate_100m,probe_attempts,probe_successes,error
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,3.8440000000118744,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,3.8280000000086147,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.062000000005355,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,
4,2026091303,11,11,1.0,True,complete,3264.3903359795013,296.7627578163183,11331.951679897504,152,24,13,3.8439999999827705,13.780521352556276,19.487906498235443,7.520577248706073,1.0,1.0,1.0,14,1,
5,2026091304,13,13,1.0,True,complete,3350.1292881852473,257.7022529373267,12705.646440926239,122,19,6,2.375,12.931868753827406,18.65279921292569,6.381688895123774,1.0,1.0,1.0,6,0,
6,2026091305,12,12,1.0,True,complete,2893.8934085569194,241.15778404640994,10274.467042784596,128,18,6,2.375,12.776093380805824,19.359414956905372,7.715058963814452,1.0,1.0,1.0,8,2,
7,2026091306,10,10,1.0,True,complete,3548.787583029321,354.8787583029321,13123.937915146611,139,26,16,4.078000000008615,13.915939978450108,19.380351528967147,10.83595153522489,1.0,1.0,1.0,20,4,
8,2026091307,15,15,1.0,True,complete,3100.4211948370266,206.69474632246843,11607.105974185131,111,30,15,4.187000000005355,14.167078917000335,19.17407067972655,4.805209449642928,1.0,1.0,1.0,18,3,
9,2026091308,13,13,1.0,True,complete,2997.12369459206,230.54797650708153,11260.6184729603,112,18,5,2.125,12.884390163861458,19.18695916238357,6.978282299407147,1.0,1.0,1.0,8,3,
10,2026091309,13,13,1.0,True,complete,3201.8974796389007,246.29980612606929,12259.487398194506,109,25,12,3.2820000000065193,14.132711450395288,18.49484485014782,5.981281234830617,1.0,1.0,1.0,16,4,
11,2026091310,11,11,1.0,True,complete,3059.864072406172,278.1694611278338,10849.320362030854,135,22,11,2.702999999979511,11.394276094038986,18.500748708950976,5.500163462385293,1.0,1.0,1.0,12,1,
12,2026091311,14,14,1.0,True,complete,3382.026069395675,241.57329067111965,13170.130346978374,110,23,9,3.1719999999913853,9.43961663312558,17.464862939561087,6.308270343736721,1.0,1.0,1.0,9,0,
13,2026091312,15,15,1.0,True,complete,3400.2861710584925,226.68574473723282,13266.430855292461,109,24,9,3.1560000000172295,12.184273121614815,19.494636270822088,6.408735423532561,1.0,1.0,1.0,11,2,
14,2026091313,14,14,1.0,True,complete,3702.2435443171266,264.44596745122334,14241.217721585632,125,29,15,4.546999999991385,15.605662787029118,19.018257897961423,2.8611548989347773,1.0,1.0,1.0,18,3,
15,2026091314,13,13,1.0,True,complete,3026.694164824034,232.82262806338724,11403.47082412017,110,22,9,2.875,13.13990880960999,18.448431305005247,7.4248481000429045,1.0,1.0,1.0,12,3,
16,2026091315,11,11,1.0,True,complete,3079.879195825944,279.98901780235855,11189.395979129718,131,14,3,2.1410000000032596,12.399562512141092,18.430315124484746,4.772263689980698,1.0,1.0,1.0,4,1,
17,2026091316,12,12,1.0,True,complete,3512.442163316181,292.70351360968175,12822.2108165809,149,14,2,3.1559999999881256,9.017225168483042,16.735848012310885,4.553011083458885,1.0,1.0,1.0,3,1,
18,2026091317,11,11,1.0,True,complete,3083.0493852090362,280.2772168371851,11460.24692604518,123,12,1,1.687999999994645,13.353903412512397,18.102644425138905,8.886367313576054,1.0,1.0,1.0,4,3,
19,2026091318,10,10,1.0,True,complete,2801.474216603793,280.14742166037934,9667.371083018965,131,23,13,3.577999999979511,14.984867669853315,17.86175161357011,8.357471201740914,1.0,1.0,1.0,14,1,
20,2026091319,14,14,1.0,True,complete,3651.4139305841704,260.81528075601216,14362.06965292085,115,22,8,3.64000000001397,13.65853980225469,19.329513920709672,7.177339317133393,1.0,1.0,1.0,11,3,
