case,seed,channel,reception_radius_m,center_error_m,mean_error_m,clear_distance_m,clear_attempts,clear_success,station_count,certified
1,2026091300,3,1046.3222695624636,0.2588121240388382,1.4848770338310506,16.99173680682723,6,True,3,True
1,2026091300,6,1224.9228348818433,7.013634507069924,9.92321328389571,10.466333460644893,1,True,3,True
1,2026091300,7,1451.2975773927633,3.8306988688560177,4.204261746545095,11.820785599187863,1,True,2,True
1,2026091300,8,1347.2447945309214,12.044920228546292,3.254870375135513,18.208517097381595,3,True,3,True
1,2026091300,9,1277.4209898378563,1.7968844574008516,1.842153893782171,13.698311170175128,1,True,3,True
1,2026091300,11,1319.5244953494919,2.1920453555319366,2.5075043493007425,11.03713830307931,1,True,3,True
1,2026091300,12,1394.925459193344,17.998758803063208,0.7032669765579574,19.31069332354301,4,True,2,False
1,2026091300,14,1314.4347137926457,12.366737607571604,11.403745040075176,18.834512849168814,1,True,2,False
1,2026091300,16,1433.991664968115,8.336403297773725,7.278197291429824,15.751395753353858,1,True,3,True
1,2026091300,17,1361.6361983404809,3.9956262588506917,5.012333202562606,16.72776529798708,1,True,3,True
1,2026091300,18,1129.3472921842153,33.178233646364326,2.182420250009183,17.932269950058686,3,True,2,False
2,2026091301,2,1291.3435086283966,2.480739687660573,2.8120943660775373,2.8197613401562904,1,True,2,True
2,2026091301,3,1122.545569087027,0.5888656990878018,0.3636776107558695,14.630363357303363,6,True,3,True
2,2026091301,4,1419.723375155568,16.10927115708049,2.7209249573546384,18.872064299654554,4,True,2,False
2,2026091301,6,1184.4495175345733,0.6352612134314579,3.526470664626791,0.7538987568990465,1,True,3,True
2,2026091301,7,1366.5029936795027,8.945832294815663,4.296302101827158,17.946560208838687,4,True,3,False
2,2026091301,8,1192.599731691122,0.5517757376265683,0.475651437777449,17.89360686761725,1,True,4,True
2,2026091301,11,1442.469838519782,5.203787729202101,6.672015813957898,17.290820364937144,2,True,2,False
2,2026091301,12,1262.082236819665,0.6717741720378331,1.3550750894302372,15.319229807588407,2,True,3,True
2,2026091301,14,1392.0885167828237,15.583958000813839,17.029146453478337,14.119640831058934,1,True,3,True
2,2026091301,15,1444.91287513701,8.0864204823326,8.276898981121489,8.772486628805527,1,True,2,True
2,2026091301,16,1242.4934460853622,14.688422914830689,26.552194882243775,19.955047519637546,1,True,2,False
2,2026091301,18,1241.791701492684,0.3410864204185321,0.657317287629098,14.190610334753432,1,True,3,True
2,2026091301,19,1177.2081664569491,5.128501215980314,0.2599152682621481,16.45398701081495,3,True,3,True
2,2026091301,20,1428.211845068915,1.0732914600466592,1.9174649563518522,13.077525066449809,1,True,4,True
3,2026091302,1,1242.7688935441693,9.652734624642404,9.571798635675236,13.020893568990552,1,True,2,True
3,2026091302,2,1028.8353144594244,6.191718409424921,6.754450758364542,9.056137533169125,4,True,3,True
3,2026091302,3,1400.1204510052946,5.467504366384827,2.4628310317788014,19.072011978317114,2,True,3,True
3,2026091302,4,1146.1097120322283,1.0836066659831582,3.727795574246985,19.08342424140907,2,True,3,False
3,2026091302,5,1183.7751353574338,9.086750208963753,9.019379655448166,9.34640190159534,1,True,2,True
3,2026091302,7,1392.6045084795987,9.23776924353781,8.156165444477534,17.0500689209444,1,True,3,True
3,2026091302,8,1087.708489131595,41.528679557949516,0.9566167560476802,19.62060254578898,4,True,2,False
3,2026091302,9,1335.0166655985606,6.449068815503295,6.7825473996021515,3.4648445633386764,1,True,2,True
3,2026091302,11,1015.00002022524,2.2360008682995858,3.8176800975858702,9.251788420056817,1,True,3,True
3,2026091302,12,1011.7914441863858,1.2912530718229556,0.17642977761776574,14.183954825311794,2,True,3,True
3,2026091302,13,1157.077780847861,0.5581433611851249,0.4436138221547098,12.502620419776084,1,True,3,True
3,2026091302,14,1482.9131366336173,15.664886750944477,0.5496787304927598,19.454961037125315,5,True,2,False
3,2026091302,15,1230.9584581227246,1.3226929798933256,1.4660532102006956,13.743761058025,1,True,3,True
3,2026091302,16,1495.4102307732278,10.137796922863956,10.281866036017357,9.859334653161538,1,True,2,True
3,2026091302,19,1473.3446439344793,6.650097328260624,10.105927081183252,12.362640431437848,1,True,3,True
